Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std
47metersdown,34.80487804878049,23.842183882819985,11937779.160579428,30622012.29551432,0.24560857604689956,0.24974261700357553,3832.149222456684,3285.912168339273
adogsjourneymovie,34.63247863247863,29.109753495301806,2688809.223522822,4606428.453921334,0.33599442968175286,0.349168693945698,3225.348524584389,2086.338315789782
aftermathmovie,35.69230769230769,26.611910622543594,737843.0010296163,1447867.703815384,0.20429768996170855,0.2599513991686895,3212.997036429973,2613.398541739849
aftermovie,58.276595744680854,54.90405640467415,5730162.1264876025,14299287.334890012,0.212973970075358,0.2316550068940771,3180.640515062546,2106.905406681398
alitamovie,35.78431372549019,29.192272497163273,2531454.7904955284,6295080.15899654,0.2673263193152564,0.26963690207016533,2845.366840575144,2350.3135919548176
angelhasfallen,36.42156862745098,27.8171326366979,1209756.4450619791,4667335.491197369,0.25070263657957015,0.28292585750320864,3686.115581034615,2869.0750183839014
angrybirdsmovie,34.65,30.91052948969547,369915511.07856596,751228830.3413738,0.3415629566501276,0.34148056657907155,7726.730432469832,2614.3218269550307
annabellemovie,52.36363636363637,45.788259830354015,4579331.774892684,34055753.876763575,0.09246866145816199,0.13234750118080257,1387.4944020693085,1821.0507450331909
annamovie,37.91011235955056,33.61267833617541,9961093.345247298,30478166.89014458,0.3236956404202224,0.29021756294467305,4568.54899177322,2762.151807233616
apollo11movie,65.6829268292683,58.86505403510322,6274530.625040619,15502910.006607102,0.18749989547658708,0.23665064533322383,4119.307187002707,2746.299971683731
arcticmovie,72.625,94.80177863385717,419908.7930152336,1445080.8470512067,0.2592962563654242,0.31775367317583825,2704.2718219421777,2309.4024877605807
artofracingmovie,32.21212121212121,25.5755062460723,10083699.589024222,22962107.516971376,0.32656317688951997,0.34521141550011414,3901.6878242191683,2082.911548130717
avengers,63.70909090909091,71.98678482945772,1709567.363935003,7479738.692924303,0.2627411998693503,0.26814156391658595,3105.39594032038,3241.181755533354
beachbummovie,33.64485981308411,20.565487983716434,10557472.489571773,13171636.554763962,0.19065556415466034,0.1999194087997236,4604.061084524547,2391.8015119692454
bernadettefilm,35.05555555555556,24.798384555111852,8255672.661522896,12435050.248323254,0.19538465196635715,0.2678772859709604,4734.0616987769545,1978.8730578672603
blindedbythelightmovie,34.0990099009901,15.943902245739093,9422088.193971574,46377098.979620636,0.2198081136250925,0.2517577031617694,5058.690847604672,2780.5749886703898
booksmart,65.2,92.35521100620149,3016540.562397561,4491566.6872811895,0.25652478108508275,0.26504735826352016,3997.886217255943,2530.2616039469494
breakthroughmovie,42.7787610619469,35.337496571655414,6133070.505461895,14566034.760029519,0.2617181029821375,0.3021658648296213,4441.617721540461,2780.8091501328286
